docs,corpus_size,vocabulary_size
1266,634899,56508
1267,635621,56542
1268,636087,56607
1269,636289,56610
1270,636911,56630
1271,637695,56747
1272,637910,56787
1273,638055,56787
1274,638215,56794
1275,639375,56833
1276,639641,56836
1277,639960,56860
1278,640103,56860
1279,641175,56921
1280,641378,56931
1281,641831,56945
1282,642048,56950
1283,642922,57002
1284,643410,57073
1285,645569,57149
1286,645804,57160
1287,647254,57185
1288,648269,57242
1289,648476,57254
1290,648745,57272
1291,649686,57324
1292,649800,57325
1293,650476,57354
1294,652059,57410
1295,652566,57436
1296,652694,57440
1297,653130,57515
1298,653546,57539
1299,654020,57556
1300,654327,57564
1301,654636,57577
1302,654792,57580
1303,659319,57790
1304,659836,57821
1305,660326,57826
1306,660501,57833
1307,661258,57910
1308,661682,57921
1309,661805,57922
1310,662602,57988
1311,662931,58165
1312,663135,58176
1313,663768,58200
1314,664098,58205
1315,664256,58212
1316,665019,58252
1317,666088,58278
1318,666307,58285
1319,666432,58289
1320,666603,58294
1321,666832,58300
1322,668998,58401
1323,669391,58418
1324,670567,58482
1325,670954,58494
1326,671323,58524
1327,673067,58653
1328,673253,58670
1329,673500,58677
1330,674299,58716
1331,674655,58729
1332,674908,58737
1333,675511,58771
1334,675632,58785
1335,675887,58788
1336,676229,58803
1337,676464,58809
1338,676948,58827
1339,677530,58862
1340,677835,58888
1341,678537,58937
1342,678758,58971
1343,678889,58972
1344,679196,58986
1345,679449,58996
1346,679585,59000
1347,679971,59022
1348,680473,59053
1349,680847,59100
1350,681269,59123
1351,681416,59127
1352,682010,59140
1353,682639,59161
1354,683290,59183
1355,683611,59203
1356,683822,59212
1357,684007,59218
1358,684230,59228
1359,684499,59238
1360,684792,59262
1361,685209,59289
1362,685409,59290
1363,685583,59290
1364,685971,59310
1365,686552,59327
1366,686696,59330
1367,689931,59501
1368,690394,59511
1369,690524,59515
1370,690824,59524
1371,691050,59538
1372,692211,59599
1373,695065,59701
1374,695292,59706
1375,696334,59751
1376,696811,59771
1377,697280,59787
1378,697419,59792
1379,697674,59798
1380,697919,59809
1381,698088,59812
1382,698281,59817
1383,698489,59822
1384,698901,59836
1385,699267,59849
1386,699722,59870
1387,700115,59878
1388,700282,59881
1389,700936,59926
1390,701348,59948
1391,701941,59993
1392,702214,60001
1393,702551,60016
1394,702767,60024
1395,703156,60026
1396,703418,60032
1397,703964,60052
1398,704101,60052
1399,704266,60058
1400,704664,60070
1401,704986,60087
1402,705134,60089
1403,705272,60096
1404,705697,60108
1405,705837,60129
1406,706025,60138
1407,706188,60144
1408,706351,60153
1409,706608,60160
1410,706867,60182
1411,709071,60277
1412,709310,60290
1413,709597,60306
1414,709895,60327
1415,710445,60358
1416,710820,60365
1417,712322,60422
1418,712605,60435
1419,712753,60447
1420,713002,60450
1421,713167,60451
1422,713365,60460
1423,714266,60513
1424,714438,60520
1425,714630,60527
1426,714781,60530
1427,715029,60544
1428,715342,60556
